No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
11,"""East vs West""","August 7, 2014","Giada De Laurentiis, Michael Symon",fresh squid,Jason Santos X  Neal Fraser,"Drew Nieporent, Anita Lo, Harold Dieterle",fried chicken sandwich,Neal Fraser,Giada De Laurentiis, Michael Symon,Drew Nieporent, Anita Lo, Harold Dieterle,2
12,"""Bring Home the Bacon""","August 14, 2014","Sunny Anderson, Jet Tila",broccoli,Matthew Britt X  Tyler Anderson,"Wylie Dufresne, Emily Fleischaker, Charlie Palmer",New England clam chowder,Bobby Flay,Sunny Anderson, Jet Tila,Wylie Dufresne, Emily Fleischaker, Charlie Palmer,2
13,"""Battle of Brooklyn""","August 21, 2014","Anne Burrell, Chris Santos",arctic char,Jennifer Cole Ruiz X  Jordin Andino,"Jonathon Sawyer, Roberto Trevino, Andy Ricker",Korean short ribs,Bobby Flay,Anne Burrell, Chris Santos,Jonathon Sawyer, Roberto Trevino, Andy Ricker,2
14,"""Out of the Pan/Into the Fire""","August 28, 2014","Daphne Oz, Alton Brown",pork chops,Rina Younan X  Carlos Serrano,"Michael Psilakis, Ivy Stark, Eugene Remm",falafel,Rina Younan,Daphne Oz, Alton Brown,Michael Psilakis, Ivy Stark, Eugene Remm,2
15,"""Ladies First""","September 4, 2014","Katie Lee, Marc Murphy",oysters,Natasha Pogrebinsky X  Esther Choi,"Michael Ferraro, Kristin Sollenne, Jeff Zalanick",beef stroganoff,Bobby Flay,Katie Lee, Marc Murphy,Michael Ferraro, Kristin Sollenne, Jeff Zalanick,2
16,"""Risky Business""","September 11, 2014","Ted Allen, Alex Guarnaschelli",ricotta cheese,Jeremiah Bullfrog X  Kyle Williams,"Michael Psilakis, Joey Campanaro, Joshua David Stein",Cuban sandwich,Bobby Flay,Ted Allen, Alex Guarnaschelli,Michael Psilakis, Joey Campanaro, Joshua David Stein,2
17,"""Smile Now, Cry Later""","September 18, 2014","Judah Friedlander, Michael Symon",sweet potato,Jason Fullilove X  Billy Oliva,"Leah Cohen, George Mendes, Dominique Crenn",bouillabaise,Bobby Flay,Judah Friedlander, Michael Symon,Leah Cohen, George Mendes, Dominique Crenn,2
18,"""Ruling with an Iron Fist""","September 25, 2014","Simon Majumdar, Donatella Arpaia",beets,Tim Wiechmann X  Stephan Durand,"April Bloomfield, Scott Gerber, Maureen Petrosky",wienerschnitzel,Tim Wiechmann,Simon Majumdar, Donatella Arpaia,April Bloomfield, Scott Gerber, Maureen Petrosky,2
19,"""Against All Odds""","October 2, 2014","Alton Brown, Anne Burrell",corn,Florian Wehrli X  Heather West,"Terrance Brennan, Maureen Petrosky, Glenn Harris",French toast,Bobby Flay,Alton Brown, Anne Burrell,Terrance Brennan, Maureen Petrosky, Glenn Harris,2
20,"""Sun Up to Show Down""","October 9, 2014","Sunny Anderson, Katie Lee",wild king salmon,Mychael Bonner X  Anna Maria Santorelli,"Harold Moore, Tracy Weiss, Ryan Scott",eggplant Parmesan,Bobby Flay,Sunny Anderson, Katie Lee,Harold Moore, Tracy Weiss, Ryan Scott,2
21,"""Only in New York""","October 16, 2014","Alex Guarnaschelli, Michael Symon",fresh atlantic cod,Palak Patel X  Daniel Holzman,"Hugh Mangum, Todd Coleman, Andrew Carmellini",chicken curry,Palak Patel,Alex Guarnaschelli, Michael Symon,Hugh Mangum, Todd Coleman, Andrew Carmellini,2
22,"""Orange is the New Beat""","October 23, 2014","Geoffrey Zakarian, Jeff Mauro",pumpkin puree,James Gillespie X  Rob Mafucci,"Frank Prisinzano, Candice Kuman, Lauren Hirschberg",pasta Bolognese,Bobby Flay,Geoffrey Zakarian, Jeff Mauro,Frank Prisinzano, Candice Kuman, Lauren Hirschberg,2
23,"""An International Affair""","October 30, 2014","Amanda Freitag, Ted Allen",egg,Patrick D'Andrea X  Rob Feenie,"Mark Birnbaum, Franklin Becker, Andrew Friedman",ravioli,Bobby Flay,Amanda Freitag, Ted Allen,Mark Birnbaum, Franklin Becker, Andrew Friedman,3
24,"""Surf and Turf""","November 6, 2014","Alex Guarnaschelli, Anne Burrell",green peas,Jake Gandolfo X  Rafael Lunetta,"Ed Brown, Ken Oringer, Suvir Saran",fish sandwich,Bobby Flay,Alex Guarnaschelli, Anne Burrell,Ed Brown, Ken Oringer, Suvir Saran,3
25,"""Gobbled Up""","November 13, 2014","Geoffrey Zakarian, Chrissy Teigen",cranberries,Kat Ploszaj X  Julietta Ballesteros,"Seamus Mullen, Shaun Hergatt, David Leite",duck a l'orange,Bobby Flay,Geoffrey Zakarian, Chrissy Teigen,Seamus Mullen, Shaun Hergatt, David Leite,3
26,"""Shaken Not Stirred""","November 20, 2014","Giada De Laurentiis, Michael Symon",chorizo,Kristine Kittrell X  Giulio Adriani,"Frank Prisinzano, Tricia Williams, Brian Duffy",gnocchi,Kristine Kittrell,Giada De Laurentiis, Michael Symon,Frank Prisinzano, Tricia Williams, Brian Duffy,3
27,"""By Land or by Sea""","December 4, 2014","Brooke Burke-Charvet, Alton Brown",marcona almonds,Alex Diaz X  Jeremy Hanlon,"Seamus Mullen, Lourdes Castro, Madison Cowan",fish and chips,Bobby Flay,Brooke Burke-Charvet, Alton Brown,Seamus Mullen, Lourdes Castro, Madison Cowan,3
28,"""Bells will be Ringing""","December 11, 2014","Anne Burrell, Scott Conant",pears,Mark Allen X  Blythe Beck,"Aliya Leekong, Greg and Darin Bresnitz",cornish game hen,Bobby Flay,Anne Burrell, Scott Conant,Aliya Leekong, Greg and Darin Bresnitz,,3
29,"""Heat in the Street""","December 18, 2014","Scott Conant, Alex Guarnaschelli",pancetta,Damien O'Donnell X  Adrian Leon,"Phillip Lee, Ariane Daguin, Ivan Orkin",pork chop,Bobby Flay,Scott Conant, Alex Guarnaschelli,Phillip Lee, Ariane Daguin, Ivan Orkin,3
30,"""Roll the Dice""","December 25, 2014","Michael Voltaggio, Simon Majumdar",pork tenderloin,Evan Hennessey X  John Miele,"Ken Friedman, Ed McFarland, Donald Brophy",lobster roll,John Miele,Michael Voltaggio, Simon Majumdar,Ken Friedman, Ed McFarland, Donald Brophy,3
31,"""Pot Calling the Kettle Beat""","January 1, 2015","Jonathan Waxman, Aaron Sanchez",goat cheese,Herb Wilson X  Robin King,"Wylie Dufresne, Anita Lo, Josh Capon",chicken pot pie,Bobby Flay,Jonathan Waxman, Aaron Sanchez,Wylie Dufresne, Anita Lo, Josh Capon,3
32,"""New Kids on the Butcher Block""","January 8, 2015","Jeff Mauro, Justin Warner",ground beef,Malcolm Mitchell X  Daniela D'Ambrosio,"Joey Campanaro, Madison Cowan, Mike Birnbaum",BLT,Bobby Flay,Jeff Mauro, Justin Warner,Joey Campanaro, Madison Cowan, Mike Birnbaum,3
33,"""Clash of the Culinary Titans""","January 15, 2015","Sunny Anderson, Ted Allen",pizza dough,Victor Albisu X  Eddie Tangredi,"Michael Stillman, Ariane Daguin, George Motz",steak and eggs,Victor Albisu,Sunny Anderson, Ted Allen,Michael Stillman, Ariane Daguin, George Motz,3
34,"""Defend the House""","January 29, 2015","Alton Brown, Alex Guarnaschelli",hanger steak,Joe Dobias X  Alina Eisenhauer,"Sam Talbot, Aliya Leekong, Alex Garcia",biscuits & gravy,Bobby Flay,Alton Brown, Alex Guarnaschelli,Sam Talbot, Aliya Leekong, Alex Garcia,3
35,"""Fry Me a River""","February 5, 2015","Scott Conant, Geoffrey Zakarian",tomatoes,Robert Hesse X  Michael Jenkins,"Corby Kummer, Terrance Brennon, Drew Nieporent",chicken wings,Bobby Flay,Scott Conant, Geoffrey Zakarian,Corby Kummer, Terrance Brennon, Drew Nieporent,3
36,"""Foreign Relations""","March 5, 2015","Giada De Laurentiis, Michael Symon",porterhouse steak,Taichi Kitamura X  David Decastro,"Ed Schoenfeld, Kristin Sollenne, Harold Dieterle",pot stickers,Taichi Kitamura[2],Giada De Laurentiis, Michael Symon,Ed Schoenfeld, Kristin Sollenne, Harold Dieterle,4
37,"""Fire in the Hole""","March 12, 2015","Alex Guarnaschelli, Katie Lee",chickpeas,Jen Biesty X  Chris Lamphier,"George Mendes, Aliya Leekong, Drew Nieporent",paella,Bobby Flay,Alex Guarnaschelli, Katie Lee,George Mendes, Aliya Leekong, Drew Nieporent,4
38,"""To Contend and Serve""","March 19, 2015","Anne Burrell, Geoffrey Zakarian",italian sausage,Carla Harris X  Noah Schwartz,"Ed McFarland, Lourdes Castro, Rick Moonen",catfish po' boy,Bobby Flay,Anne Burrell, Geoffrey Zakarian,Ed McFarland, Lourdes Castro, Rick Moonen,4
39,"""Culinary Validation""","March 26, 2015","Scott Conant, Natalie Morales",kielbasa,Joe Adorno X  Adam Halberg,"Jeff Zalaznick, Kristin Sollenne, Rick Moonen",arroz con pollo,Bobby Flay,Scott Conant, Natalie Morales,Jeff Zalaznick, Kristin Sollenne, Rick Moonen,4
40,"""Raising the Bar""","April 2, 2015","Sunny Anderson, Allison Sweeney",shiitake mushrooms,Kelvin Fernandez X  Chris Kobayashi,"Ivan Orkin, Roberto Treviño, Ming Tsai",meat arepas,Kelvin Fernandez,Sunny Anderson, Allison Sweeney,Ivan Orkin, Roberto Treviño, Ming Tsai,4
41,"""No Training Wheels""","April 9, 2015","Alex Guarnaschelli, David Burtka",feta cheese,Johnny Zone X  Jumoke Jackson,"Luke Holden, Mary Sue Milliken, Suvir Saran",fried fish tacos,Johnny Zone,Alex Guarnaschelli, David Burtka,Luke Holden, Mary Sue Milliken, Suvir Saran,4
42,"""Best Laid Plans""","April 16, 2015","Katie Lee, Simon Majumdar",sardines,Clark Frasier X  Keri Moser,"Donal Brophy, Tricia Williams, Ken Friedman",cedar plank salmon,Bobby Flay,Katie Lee, Simon Majumdar,Donal Brophy, Tricia Williams, Ken Friedman,4
43,"""East Coast's Finest""","April 23, 2015","Curtis Stone, Michael Symon",mussels,Luke Venner X  Antonio Franco,"Frank Pellegrino Jr., Laura Vitale, Michael Psilakis",veal milanese,Bobby Flay,Curtis Stone, Michael Symon,Frank Pellegrino Jr., Laura Vitale, Michael Psilakis,4
44,"""Out on a Limb""","April 30, 2015","Ted Allen, Tamron Hall",fluke,John Wassil X  Katherine Humphus,"Harold Moore, Ariane Daguin, Todd Coleman",lamb chops,Bobby Flay,Ted Allen, Tamron Hall,Harold Moore, Ariane Daguin, Todd Coleman,4
45,"""Any Given Sunday""","May 7, 2015","Chris Santos, Geoffrey Zakarian",bacon,Kathy Cary X  Shanna O'Hea,"Michael Ferraro, Susan Ungaro, Terrance Brennan",croque-monsieur,Bobby Flay,Chris Santos, Geoffrey Zakarian,Michael Ferraro, Susan Ungaro, Terrance Brennan,4
46,"""Homeland""","May 14, 2015","Anne Burrell, Scott Conant",oranges,Thoa Nguyen X  Jason Hippen,"David Massoni, Anita Lo, Ivan Orkin",bibimbap,Thoa Nguyen[3],Anne Burrell, Scott Conant,David Massoni, Anita Lo, Ivan Orkin,4
47,"""Humble Beginnings""","May 21, 2015","Sunny Anderson, Simon Majumdar",fresh mozzarella,Christopher Wall X  Eugene Jones,"Ed McFarlnd, Alexander Smalls, Frank Prisinzano",étouffée,Bobby Flay,Sunny Anderson, Simon Majumdar,Ed McFarlnd, Alexander Smalls, Frank Prisinzano,4
48,"""Getting Grilled""","May 28, 2015","Michael Symon, Debi Mazar",chicken,Dominic Zumpano X  Angelo Sosa,"Michael Stillman, Hugh Mangum, Michael Lomonaco",steak and potatoes,Bobby Flay,Michael Symon, Debi Mazar,Michael Stillman, Hugh Mangum, Michael Lomonaco,4
49,"""No Fear""","June 4, 2015","Damaris Phillips, Alex Guarnaschelli",halibut,Will Gilson X  Lawrence Males,"Roberto Treviño, Lourdes Castro, Hugh Mangum",corn-beef hash,Bobby Flay,Damaris Phillips, Alex Guarnaschelli,Roberto Treviño, Lourdes Castro, Hugh Mangum,5
50,"""Who's Your Daddy?""","June 11, 2015","Scott Conant, Haylie Duff",lobster,Sam Marvin X  Gregory Torrech,"Frank Prisinzano, Roberto Treviño, April Bloomfield",sausage & peppers,Sam Marvin,Scott Conant, Haylie Duff,Frank Prisinzano, Roberto Treviño, April Bloomfield,5
51,"""No Formalities""","June 18, 2015","Sunny Anderson, Giada de Laurentiis",littleneck clams,Tre Wilcox X  Sarah Acconcia,"Andrew Carmellini, Tracy Weiss, Josh Capon",pork roulade,Bobby Flay,Sunny Anderson, Giada de Laurentiis,Andrew Carmellini, Tracy Weiss, Josh Capon,5
52,"""Mavericks""","June 25, 2015","Daphne Oz, Michael Symon",jumbo lump crab meat,Sylvia Casares X  Braden Wages,"Ivy Stark, Corby Kummer, Leah Cohen",thai green curry,Bobby Flay,Daphne Oz, Michael Symon,Ivy Stark, Corby Kummer, Leah Cohen,5
53,"""Stars and Stripes""","July 2, 2015","Rachael Ray, Jessica Seinfeld",watermelon,Matt O'Neil X  Brian Cartenuto,"Glenn Harris, Susan Ungaro, Ken Freidman",burger,Bobby Flay,Rachael Ray, Jessica Seinfeld,Glenn Harris, Susan Ungaro, Ken Freidman,5
54,"""Rollin' Deep""","July 9, 2015","Katie Lee, Geoffrey Zakarian",fennel,Linda Hamel X  Kenny Johnson,"Charlie Parker, Tracy Weiss, Frankie Pelegrino Jr.",meatballs,Kenny Johnson,Katie Lee, Geoffrey Zakarian,Charlie Parker, Tracy Weiss, Frankie Pelegrino Jr.,5
55,"""Worst Case Scenario""","July 16, 2015","Amanda Freitag, Alex Guarnaschelli",hen of the woods mushroom,Kouri Killmeier X  Jared Case,"Michael Lomonaco, Franklin Becker, Michael Psilakis",bratwurst sandwich,Bobby Flay,Amanda Freitag, Alex Guarnaschelli,Michael Lomonaco, Franklin Becker, Michael Psilakis,5
56,"""Rise to the Occasion""","July 23, 2015","Ted Allen, Debi Mazar",apples,Gio Osso X  Mike Friedman,"Aliya Leekong, Jeff Zalaznick, Laura Vitale",lasagne,Bobby Flay,Ted Allen, Debi Mazar,Aliya Leekong, Jeff Zalaznick, Laura Vitale,5
57,"""Do or Die""","July 30, 2015","Scott Conant, Geoffrey Zakarian",pomegranates,Peter Morris X  Gregory Webb,"Harold Dieterle, Ivy Stark, Jason Birchard",chili relleno,Bobby Flay,Scott Conant, Geoffrey Zakarian,Harold Dieterle, Ivy Stark, Jason Birchard,5
58,"""The Heat is On""","August 6, 2015","Katie Lee, Robert Irvine",rib-eye steak,Jeanie Roland X  Becca Richards,"Susan Feniger, Ed Brown, Susan Ungaro",mussels frites,Jeanie Roland,Katie Lee, Robert Irvine,Susan Feniger, Ed Brown, Susan Ungaro,5
59,"""Sticking to Your Guns""","August 13, 2015","Sunny Anderson, Curtis Stone",russet potatoes,Clark Barlowe X  Peter McAndrews,"Andrew Carmellini, Madison Cowan, April Bloomfield",liver & onions,Bobby Flay,Sunny Anderson, Curtis Stone,Andrew Carmellini, Madison Cowan, April Bloomfield,5
60,"""Arrivals and Departures""","August 20, 2015","Donatella Arpaia, Alex Guarnaschelli",swordfish,Michael Walters X  Lisa Nakamura,"Franklin Becker, Candice Kumai, Madison Cowan",jerk chicken,Michael Walters[4],Donatella Arpaia, Alex Guarnaschelli,Franklin Becker, Candice Kumai, Madison Cowan,5
61,"""Culinary Tornado""","August 27, 2015","Anne Burrell, Simon Majumdar",New York strip steak,Miguel Trinidad X  Brian Hill,"Leah Cohen, Hugh Mangum, Devin Alexander",ribs,Bobby Flay,Anne Burrell, Simon Majumdar,Leah Cohen, Hugh Mangum, Devin Alexander,5
62,"""Unfinished Business""","October 1, 2015","Scott Conant, Jonathan Scott, Drew Scott",cherrystone clams,Angelo Sosa X  Blythe Beck,"Ivy Stark, Josh Capon, Elizabeth Karmel",pork enchiladas,Bobby Flay,Scott Conant," Jonathan Scott, Drew Scott",Ivy Stark, Josh Capon, Elizabeth Karmel,6
63,"""Settling the Score""","October 8, 2015","Sunny Anderson, Jeff Mauro",rack of lamb,Jordan Andino X  Bruce Kalman,"Frank Prisinzano, Laura Vitale, Harold Moore",pasta carbonara,Bruce Kalman[5],Sunny Anderson, Jeff Mauro,Frank Prisinzano, Laura Vitale, Harold Moore,6
64,"""Frenemies""","October 15, 2015","Michael Symon, Debi Mazar",portobello mushroom,Natasha Pogrebinsky X  Michael Jenkins,"Ed McFarland, Tom Birchard, Andrew Friedman",pierogi,Bobby Flay,Michael Symon, Debi Mazar,Ed McFarland, Tom Birchard, Andrew Friedman,6
65,"""Back with a Vengeance""","October 22, 2015","Daphne Oz, Geoffrey Zakarian",kale,Tre Wilcox X  Anthony Lamas,"Franklin Becker, Lourdes Castro, Julien Medina",moqueca,Bobby Flay,Daphne Oz, Geoffrey Zakarian,Franklin Becker, Lourdes Castro, Julien Medina,6
66,"""Trick or Sweet""","October 26, 2015","Simon Majumdar, Debi Mazar",coconut,Justin Burke-Samson X  Tommy Juliano,"Paulette Goto, Johnny Iuzzini, Jennifer Yee",pumpkin trifle,Bobby Flay,Simon Majumdar, Debi Mazar,Paulette Goto, Johnny Iuzzini, Jennifer Yee,6
67,"""It's a Family Secret""","November 4, 2015","Anne Burrell, Spike Mendelsohn",flat iron steak,Kiran Verma X  Ric Orlando,"Jason Birchard, Maneet Chauhan, Madison Cowan",potato latkes,Ric Orlando,Anne Burrell, Spike Mendelsohn,Jason Birchard, Maneet Chauhan, Madison Cowan,6
68,"""She's a Lady""","November 11, 2015","Katie Lee, Alex Guarnaschelli",chicken thighs,Giovanna Huyke X  Jennifer Bajsel,"Roberto Treviño, Aliya Leekong, Hugh Mangum",shrimp mofongo,Bobby Flay,Katie Lee, Alex Guarnaschelli,Roberto Treviño, Aliya Leekong, Hugh Mangum,6
69,"""Let's Talk Turkey""","November 18, 2015","Michael Symon, Geoffrey Zakarian",acorn squash,Nick Rabar X  Jeff Haskel,"Susan Ungaro, Michael Ferraro, Sarah Simmons",turkey sandwich,Bobby Flay,Michael Symon, Geoffrey Zakarian,Susan Ungaro, Michael Ferraro, Sarah Simmons,6
70,"""Hook, Line and Sinker""","December 2, 2015","Scott Conant, Willie Geist",rainbow trout,Roy Breiman X  Vaughn Crenshaw,"Ken Friedman, Anita Lo, Glenn Harris",Dutch baby pancake,Roy Breiman,Scott Conant, Willie Geist,Ken Friedman, Anita Lo, Glenn Harris,6
71,"""Roasting on an Open Fire""","December 9, 2015","Alex Guarnaschelli, Penn Jillette",chestnuts,Ariane Duarte X  Adil Fawzi,"Michael Lomonaco, Candice Kumai, Phillipe Massoud",filet mignon,Ariane Duarte,Alex Guarnaschelli, Penn Jillette,Michael Lomonaco, Candice Kumai, Phillipe Massoud,6
72,"""Poking and Prodding""","December 16, 2015","Katie Lee, Judy Gold",polenta,Alex Stratta X  Houman Gohary,"Marco Moreira, Maneet Chauhan, Jean-Paul Bourgeouis",lamb shish kebab,Bobby Flay,Katie Lee, Judy Gold,Marco Moreira, Maneet Chauhan, Jean-Paul Bourgeouis,6
73,"""Rules are Meant to be Broken""","January 6, 2016","Ted Allen, Margaret Cho",fresh tuna,Diane DiMeo X  Ian Russo,"Jason Debriere, Ivy Stark, David Massoni",pork tostado,Bobby Flay,Ted Allen, Margaret Cho,Jason Debriere, Ivy Stark, David Massoni,6
74,"""Live From the Food Carpet""","January 13, 2016","Rachael Ray, Ross Mathews",bell peppers,Gavin Fine X  K.N. Vinod,"Frank Prisinzano, Missy Robbins, Suvir Saran",fish curry,Bobby Flay,Rachael Ray, Ross Mathews,Frank Prisinzano, Missy Robbins, Suvir Saran,6
75,"""Strike While the Iron's Hot""","January 20, 2016","Amanda Freitag, Geoffrey Zakarian",peanuts,"Steve ""Nookie"" Postal X  Tim Freeman","Kristin Sollenne, Dale Talde, Candice Kumai",pad thai,Tim Freeman[6],Amanda Freitag, Geoffrey Zakarian,Kristin Sollenne, Dale Talde, Candice Kumai,7
76,"""A Cut Above""","January 27, 2016","Simon Majumdar, Jet Tila",flank steak,John Tesar X  Terry Sargent,"Michael Stillman, Madison Cowan, Jean-Paul Bourgeouis",beef Wellington,Bobby Flay,Simon Majumdar, Jet Tila,Michael Stillman, Madison Cowan, Jean-Paul Bourgeouis,7
77,"""Touchdown!""","February 3, 2016","Anne Burrell, Laila Ali",avocado,Zane Holmquist X  Deji Oduwole,"Ben Ford, Tricia Williams, Pete Levin",pork nachos,Bobby Flay,Anne Burrell, Laila Ali,Ben Ford, Tricia Williams, Pete Levin,7
78,"""Sweet and Spicy""","February 10, 2016","Katie Lee, Damaris Phillips",chocolate & chillies,Carlos Baez X  Steven Scalesse,"Susan Feniger, Richard Sandoval, Pamela Morgan",chicken mole,Bobby Flay,Katie Lee, Damaris Phillips,Susan Feniger, Richard Sandoval, Pamela Morgan,7
79,"""A Feather in Your Cap""","February 17, 2016","Alex Guarnaschelli, Sunny Anderson",duck breast,Mohan Ismail X  Nicole Roarke,"Wylie Dufresne, Ed Schoenfeld, Frank Pellegrino",seafood lo mein,Mohan Ismail[7],Alex Guarnaschelli, Sunny Anderson,Wylie Dufresne, Ed Schoenfeld, Frank Pellegrino,7
80,"""The Boys Are Back""","February 24, 2016","Michael Symon, Michael Voltaggio",jarred tuna,Todd Hall X  Brian Archibald,"Julian Medina, Tricia Williams, Franklin Becker",steak torta,Brian Archibald[8],Michael Symon, Michael Voltaggio,Julian Medina, Tricia Williams, Franklin Becker,7
81,"""Always Expect the Unexpected""","March 2, 2016","Ted Allen, Kelsey Nixon",sirloin steak,Matt Levin X  Sanaa Abourezk,"Michael Psilakis, Corby Kummer, Jeremy Spector",vegetarian moussaka,Bobby Flay,Ted Allen, Kelsey Nixon,Michael Psilakis, Corby Kummer, Jeremy Spector,7
82,"""Turning the Tables""","March 17, 2016",Katie Lee,spinach,Alex Guarnaschelli X  Michael Symon,"Michael Lomonaco, April Bloomfield, Wylie Dufresne",lobster Newberg,Alex Guarnaschelli,Katie Lee,,Michael Lomonaco, April Bloomfield, Wylie Dufresne,8
83,"""Pie in the Sky""","March 24, 2016","Maria Menounos, Scott Conant",striped bass,Branden Levine X  Damon Gordon,"Donal Brophy, Michael Lomonaco, Pete Levin",shepherd's pie,Bobby Flay,Maria Menounos, Scott Conant,Donal Brophy, Michael Lomonaco, Pete Levin,8
84,"""Time to Get Schooled""","March 31, 2016","Anne Burrell, Curtis Stone",asparagus,Cindy Wolf X  Stacie Vande Wetering,"Jean-Paul Bourgeouis, Cedric Vongerichten, Franklin Becker",seafood risotto,Bobby Flay,Anne Burrell, Curtis Stone,Jean-Paul Bourgeouis, Cedric Vongerichten, Franklin Becker,8
85,"""Something Sweet""","April 7, 2016","Bobby Deen, Sunny Anderson",cherry,Caprial Pence X  Ty Leon,"Johnny Iuzzini, Paulette Goto, Zac Young",cream puffs,Bobby Flay,Bobby Deen, Sunny Anderson,Johnny Iuzzini, Paulette Goto, Zac Young,8
86,"""Have Merci!""","April 14, 2016","Alex Guarnaschelli, Josh Capon",artichoke hearts,Gui Alinat X  Kevin Ashade,"Marco Moreira, Aliya Leekong, Alain Allegretti",coq au vin,Kevin Ashade[9],Alex Guarnaschelli, Josh Capon,Marco Moreira, Aliya Leekong, Alain Allegretti,8
87,"""Just Act Natural""","April 21, 2016","Ina Garten, Neil Patrick Harris",piquillo pepper,Gail Arnold X  Thomas John,"Richie Notar, Madhur Jaffrey, Jehangir Mehta",chicken shawarma,Bobby Flay,Ina Garten, Neil Patrick Harris,Richie Notar, Madhur Jaffrey, Jehangir Mehta,8
88,"""Riding the Wave""","April 28, 2016","Katie Lee, Simon Majumdar",lamb tenderloin,Shaymus Alwin X  Jeremy Sewall,"Jamie Bissonnette, Keri Glassman, Ed McFarland",lobster bisque,Bobby Flay,Katie Lee, Simon Majumdar,Jamie Bissonnette, Keri Glassman, Ed McFarland,8
89,"""Fully Baked""","May 5, 2016","Geoffrey Zakarian, Scott Conant",plantain,Robert Vasquez X  Aaron Rivera,"Michael Laiskonis, Ivy Stark, Roberto Santibáñez",beef empanada,Aaron Rivera[10],Geoffrey Zakarian, Scott Conant,Michael Laiskonis, Ivy Stark, Roberto Santibáñez,8
90,"""Hall of Shame""","May 12, 2016","Giada De Laurentiis, Jerome Bettis",okra,Kenny Gilbert X  Jordan Wakefield,"Tom Birchard, Lisle Richards, Ken Friedman",chicken & dumplings,Kenny Gilbert,Giada De Laurentiis, Jerome Bettis,Tom Birchard, Lisle Richards, Ken Friedman,8
91,"""Star Power""","May 19, 2016","Jeff Mauro, Eddie Jackson",Dover sole,Jesse Schenker X  Danny Mena,"Julian Medina, Rosanna Scotto, Madison Cowan",tortilla soup,Bobby Flay,Jeff Mauro, Eddie Jackson,Julian Medina, Rosanna Scotto, Madison Cowan,8
